,missing_count,missing_pct
ed_course_reassessment_4h.lactate_4h,128,0.4904214559386973
ed_course_reassessment_4h.cpk_4h,128,0.4904214559386973
ed_course_reassessment_4h.vbg_ph_4h,128,0.4904214559386973
ed_course_reassessment_4h.troponin_4h,128,0.4904214559386973
encounter_id,0,0.0
ed_course.vitals_timeseries,0,0.0
ed_course.labs_timeseries,0,0.0
ed_course.interventions,0,0.0
ed_course.reassessment_4h.encounter_id,0,0.0
ed_course_reassessment_4h.heart_rate_4h,0,0.0
ed_course_reassessment_4h.respiratory_rate_4h,0,0.0
ed_course_reassessment_4h.systolic_bp_4h,0,0.0
ed_course_reassessment_4h.diastolic_bp_4h,0,0.0
ed_course_reassessment_4h.oxygen_saturation_4h,0,0.0
ed_course_reassessment_4h.supplemental_oxygen_4h,0,0.0
ed_course_reassessment_4h.temperature_c_4h,0,0.0
ed_course_reassessment_4h.gcs_4h,0,0.0
ed_course_reassessment_4h.end_tidal_co2_4h,0,0.0
ed_course_reassessment_4h.delta_hr,0,0.0
ed_course_reassessment_4h.delta_temp,0,0.0
ed_course_reassessment_4h.delta_gcs,0,0.0
ed_course_reassessment_4h.ivf_count_0_4h,0,0.0
ed_course_reassessment_4h.benzodiazepine_count_0_4h,0,0.0
ed_course_reassessment_4h.reversal_count_0_4h,0,0.0
ed_course_reassessment_4h.intubated_0_4h,0,0.0
ed_course_reassessment_4h.positive_pressure_0_4h,0,0.0
ed_course_reassessment_4h.cvc_0_4h,0,0.0
narrative_notes_structured_brief_hpi,0,0.0
narrative_notes_structured_hpi,0,0.0
narrative_notes_structured_physical_exam_pertinent_positives,0,0.0
narrative_notes_structured_mdm,0,0.0
narrative_notes_structured_clinical_course,0,0.0
narrative.notes_structured_ed_meds_procedures,0,0.0
narrative_notes_structured_ekg_abnormal,0,0.0
narrative_notes_structured_cxr_abnormal,0,0.0
narrative_notes_structured_ct_head_abnormal,0,0.0
narrative_notes_structured_ct_chest_abnormal,0,0.0
narrative_notes_structured_ct_abd_pelvis_abnormal,0,0.0
